"Allocations to Local Government Units-Barangay Officials Death Benefits Fund-Subsidies   Others-For payment of death benefits of barangay officials namely, the punong barangay, seven barangay kagawads, SK president as ex officio barangay kagawad, secretary and treasurer, who died during their term of office",50000
Department of Education-Office of the Secretary-Subscription Expenses-City of Olongapo National High School,23
Department of Education-Office of the Secretary-Subscription Expenses-Gordon Heights National High School,10
Department of Education-Office of the Secretary-Subscription Expenses-Iram High School (resettlement school),17
Department of Education-Office of the Secretary-Subscription Expenses-Kalalake National High School,7
Department of Education-Office of the Secretary-Subscription Expenses-New Cabalan National High School,7
Department of Education-Office of the Secretary-Subscription Expenses-Regional Science High School,2
Department of Education-Office of the Secretary-Subscription Expenses-City of Olongapo NHS   James L. Gordon Integrated School,2
Department of Education-Office of the Secretary-Subscription Expenses-Gordon Heights National High School   St. Rita High School,5
Department of Education-Office of the Secretary-Subscription Expenses-Sergia Soriano Esteban High School,3
State Universities and Colleges-Western Philippines University-Electricity Expenses-General Administration and Support Services,1636
State Universities and Colleges-Western Philippines University-Electricity Expenses-Auxiliary Services,100
State Universities and Colleges-Western Philippines University-Electricity Expenses-Higher Education Services,1500
State Universities and Colleges-Western Philippines University-Electricity Expenses-Research Services,458
State Universities and Colleges-Western Philippines University-Electricity Expenses-Extension Services,100
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-General Administration and Support Services,74
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-Auxiliary Services,22
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-Higher Education Services,212
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-Research Services,5
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-Extension Services,23
State Universities and Colleges-Western Philippines University-Employees Compensation Insurance Premiums (ECIP)-Non formal and Livelihood Education and Cultural Minorities Services,8
State Universities and Colleges-Western Philippines University-Extraordinary  Expenses-General Administration and Support Services,94
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-General Administration and Support Services,144
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-Auxiliary Services,40
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-Higher Education Services,572
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-Research Services,10
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-Extension Services,66
State Universities and Colleges-Western Philippines University-Health Insurance Premiums-Non formal and Livelihood Education and Cultural Minorities Services,9
State Universities and Colleges-Western Philippines University-Honoraria-General Administration and Support Services,885
State Universities and Colleges-Western Philippines University-Honoraria-Auxiliary Services,14
State Universities and Colleges-Western Philippines University-Honoraria-Advanced Education Services,58
State Universities and Colleges-Western Philippines University-Honoraria-Higher Education Services,11
State Universities and Colleges-Western Philippines University-Honoraria-Research Services,36
State Universities and Colleges-Western Philippines University-Honoraria-Extension Services,6
State Universities and Colleges-Western Philippines University-Local Travel-General Administration and Support Services,1400
State Universities and Colleges-Western Philippines University-Local Travel-Auxiliary Services,100
State Universities and Colleges-Western Philippines University-Local Travel-Advanced Education Services,100
State Universities and Colleges-Western Philippines University-Local Travel-Higher Education Services,1400
State Universities and Colleges-Western Philippines University-Local Travel-Research Services,350
State Universities and Colleges-Western Philippines University-Local Travel-Extension Services,350
State Universities and Colleges-Western Philippines University-Local Travel-Non formal and Livelihood Education and Cultural Minorities Services,17
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-General Administration and Support Services,1350
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Auxiliary Services,550
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Advanced Education Services,200
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Higher Education Services,3950
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Research Services,650
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Extension Services,250
State Universities and Colleges-Western Philippines University-Office Supplies Expenses-Non formal and Livelihood Education and Cultural Minorities Services,50
State Universities and Colleges-Western Philippines University-Other Buildings and Structures Outlays-Proposed Agricultural Engineering Center in Palawan,7700
State Universities and Colleges-Western Philippines University-Other Professional Services-General Administration and Support Services,2100
State Universities and Colleges-Western Philippines University-Other Professional Services-Auxiliary Services,50
State Universities and Colleges-Western Philippines University-Other Professional Services-Advanced Education Services,50
State Universities and Colleges-Western Philippines University-Other Professional Services-Higher Education Services,1500
State Universities and Colleges-Western Philippines University-Other Professional Services-Research Services,388
State Universities and Colleges-Western Philippines University-Other Professional Services-Extension Services,50
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-General Administration and Support Services,75
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-Auxiliary Services,22
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-Higher Education Services,212
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-Research Services,5
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-Extension Services,23
State Universities and Colleges-Western Philippines University-PAG IBIG Contributions-Non formal and Livelihood Education and Cultural Minorities Services,8
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-General Administration and Support Services,1488
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-Auxiliary Services,432
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-Higher Education Services,4224
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-Research Services,96
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-Extension Services,456
State Universities and Colleges-Western Philippines University-Personnel Economic Relief Allowance-Non formal and Livelihood Education and Cultural Minorities Services,144
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-General Administration and Support Services,124
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-Auxiliary Services,36
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-Higher Education Services,352
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-Research Services,8
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-Extension Services,38
State Universities and Colleges-Western Philippines University-Productivity Incentive Benefits-Non formal and Livelihood Education and Cultural Minorities Services,12
State Universities and Colleges-Western Philippines University-Rents   Buildings and Structures-General Administration and Support Services,204
State Universities and Colleges-Western Philippines University-Repair and Maintenance   Buildings and Structures-General Administration and Support Services,2200
State Universities and Colleges-Western Philippines University-Repair and Maintenance   Buildings and Structures-Auxiliary Services,500
State Universities and Colleges-Western Philippines University-Repair and Maintenance   Buildings and Structures-Higher Education Services,3910
State Universities and Colleges-Western Philippines University-Repair and Maintenance   Buildings and Structures-Research Services,400
State Universities and Colleges-Western Philippines University-Repair and Maintenance   Buildings and Structures-Extension Services,25
State Universities and Colleges-Western Philippines University-Representation Allowance-General Administration and Support Services,264
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-General Administration and Support Services,35
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-Auxiliary Services,9
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-Higher Education Services,138
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-Research Services,2
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-Extension Services,17
State Universities and Colleges-Western Philippines University-Step Increments for Length of Service-Non formal and Livelihood Education and Cultural Minorities Services,2
"State Universities and Colleges-Western Philippines University-Taxes, Duties and Fees-General Administration and Support Services",270
"State Universities and Colleges-Western Philippines University-Taxes, Duties and Fees-Advanced Education Services",59
"State Universities and Colleges-Western Philippines University-Taxes, Duties and Fees-Higher Education Services",150
"State Universities and Colleges-Western Philippines University-Taxes, Duties and Fees-Research Services",50
State Universities and Colleges-Western Philippines University-Telephone   Landline-General Administration and Support Services,456
State Universities and Colleges-Western Philippines University-Telephone   Landline-Advanced Education Services,50
State Universities and Colleges-Western Philippines University-Telephone   Landline-Higher Education Services,250
State Universities and Colleges-Western Philippines University-Telephone   Landline-Research Services,50
State Universities and Colleges-Western Philippines University-Telephone   Landline-Extension Services,50
State Universities and Colleges-Western Philippines University-Training  Expenses-General Administration and Support Services,600
State Universities and Colleges-Western Philippines University-Training  Expenses-Auxiliary Services,100
State Universities and Colleges-Western Philippines University-Training  Expenses-Advanced Education Services,100
State Universities and Colleges-Western Philippines University-Training  Expenses-Higher Education Services,2500
State Universities and Colleges-Western Philippines University-Training  Expenses-Research Services,350
State Universities and Colleges-Western Philippines University-Training  Expenses-Extension Services,150
State Universities and Colleges-Western Philippines University-Year End Bonus-General Administration and Support Services,1470
State Universities and Colleges-Western Philippines University-Year End Bonus-Auxiliary Services,369
State Universities and Colleges-Western Philippines University-Year End Bonus-Higher Education Services,5479
State Universities and Colleges-Western Philippines University-Year End Bonus-Research Services,87
State Universities and Colleges-Western Philippines University-Year End Bonus-Extension Services,645
State Universities and Colleges-Western Philippines University-Year End Bonus-Non formal and Livelihood Education and Cultural Minorities Services,91
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Western Visayas College of Science and Technology",12773
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Western Visayas College of Science and Technology",1983
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Western Visayas College of Science and Technology",75012
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Don Jose Sustiguer Monfort Memorial National College",13871
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Purificacion Dolar Monfort College",10685
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Leon National College of Agriculture",11014
"State Universities and Colleges-Western Visayas College of Science and Technology-Basic Pay, Civilian-Southern Iloilo Polytechnic College",27983
